titulo,id,status,datetime,quantidade_ocorrencia
Obra na via ( CET RIO ),98902,FECHADO,2023-07-05 16:11:48,2
AC CM x TX,98907,FECHADO,2023-07-05 16:11:49,2
Animal na via,98912,FECHADO,2023-07-05 16:11:53,4
AC VP x MT,98918,FECHADO,2023-07-05 16:11:58,2
AC 2 VPs,98919,FECHADO,2023-07-05 16:12:00,2
AC 2 VPs,98906,FECHADO,2023-07-05 16:12:01,2
AC VP x MT,98908,FECHADO,2023-07-05 16:12:02,2
AC ON x MT,98911,FECHADO,2023-07-05 16:12:04,1
Queda MT,98913,FECHADO,2023-07-05 16:12:06,2
AC VP x MT,98915,FECHADO,2023-07-05 16:12:07,2
AC envol. CR,98924,FECHADO,2023-07-05 16:12:12,2
Enguiço VP,98926,FECHADO,2023-07-05 16:12:14,2
AC UT x VP,98930,FECHADO,2023-07-05 16:12:15,2
Enguiço UT,98928,FECHADO,2023-07-05 16:12:16,2
Enguiço ON,98929,FECHADO,2023-07-05 16:12:18,2
AC TX x 2 VPs,98923,FECHADO,2023-07-05 16:12:20,2
AC ON x VP,98925,FECHADO,2023-07-05 16:12:21,2
AC UT x 3 VPs,98931,FECHADO,2023-07-05 16:12:22,2
Obra na via ( CET RIO ),98902,FECHADO,2023-07-05 16:14:26,2
Enguiço CM,98904,FECHADO,2023-07-05 16:14:26,2
AC 3 VPs,98905,FECHADO,2023-07-05 16:14:28,2
AC CM x TX,98907,FECHADO,2023-07-05 16:14:29,2
AC 2 VPs,98906,FECHADO,2023-07-05 16:14:30,2
AC VP x MT,98908,FECHADO,2023-07-05 16:14:31,2
AC 2 MTs,98910,FECHADO,2023-07-05 16:14:31,2
AC ON x MT,98911,FECHADO,2023-07-05 16:14:32,1
Queda MT,98913,FECHADO,2023-07-05 16:14:33,2
Animal na via,98912,FECHADO,2023-07-05 16:14:33,4
AC VP x MT,98914,FECHADO,2023-07-05 16:14:34,2
AC VP x MT,98915,FECHADO,2023-07-05 16:14:35,2
AC VP x MT,98918,FECHADO,2023-07-05 16:14:38,2
AC 2 VPs,98919,FECHADO,2023-07-05 16:14:38,2
AC TX x 2 VPs,98923,FECHADO,2023-07-05 16:14:39,2
AC ON x VP,98925,FECHADO,2023-07-05 16:14:39,2
AC VP x MT,98921,FECHADO,2023-07-05 16:14:40,1
AC envol. CR,98924,FECHADO,2023-07-05 16:14:42,2
Enguiço VP,98926,FECHADO,2023-07-05 16:14:43,2
AC UT x VP,98930,FECHADO,2023-07-05 16:14:43,2
Enguiço UT,98928,FECHADO,2023-07-05 16:14:44,2
Enguiço ON,98929,FECHADO,2023-07-05 16:14:44,2
AC UT x 3 VPs,98931,FECHADO,2023-07-05 16:14:45,2
