titulo,id,status,datetime,quantidade_ocorrencia
AC TX x MT,98826,FECHADO,2023-07-05 21:24:46,1
Enguiço VP,98832,FECHADO,2023-07-05 21:24:48,2
AC VP x MT,98835,FECHADO,2023-07-05 21:24:49,2
Óleo na via,98834,FECHADO,2023-07-05 21:24:50,1
AC VP x MT,98838,FECHADO,2023-07-05 21:24:51,2
Vazamento de esgoto (Águas do Rio),98825,FECHADO,2023-07-05 21:24:52,1
Evento - Sistema de Avaliação da Educação Básica (SAEB) - SME,98829,FECHADO,2023-07-05 21:24:53,1
Queda MT,98830,FECHADO,2023-07-05 21:24:54,2
Enguiço VP,98831,FECHADO,2023-07-05 21:24:55,2
Queda MT,98837,FECHADO,2023-07-05 21:24:57,2
Enguiço ON,98843,FECHADO,2023-07-05 21:25:00,2
AC ON x MT,98844,FECHADO,2023-07-05 21:25:01,2
AC ON x VP,98847,FECHADO,2023-07-05 21:25:02,2
AC VP x MT,98850,FECHADO,2023-07-05 21:25:03,2
AC ON x VP,98852,FECHADO,2023-07-05 21:25:04,2
Enguiço VP,98856,FECHADO,2023-07-05 21:25:06,2
AC VP x MT,98840,FECHADO,2023-07-05 21:25:07,2
Enguiço ON,98842,FECHADO,2023-07-05 21:25:08,2
AC VP x MT,98845,FECHADO,2023-07-05 21:25:09,2
Queda MT,98846,FECHADO,2023-07-05 21:25:10,2
AC 2 VPs,98848,FECHADO,2023-07-05 21:25:11,2
Enguiço ON,98849,FECHADO,2023-07-05 21:25:12,2
Enguiço VP,98851,FECHADO,2023-07-05 21:25:13,2
Enguiço VP,98853,FECHADO,2023-07-05 21:25:14,2
Enguiço UT,98854,FECHADO,2023-07-05 21:25:15,2
Enguiço VP,98859,FECHADO,2023-07-05 21:25:17,2
AC VP x MT,98861,FECHADO,2023-07-05 21:25:18,2
Enguiço CM,98865,FECHADO,2023-07-05 21:25:19,2
AC VP x MT,98864,FECHADO,2023-07-05 21:25:20,2
Incêndio em Imóvel,98863,FECHADO,2023-07-05 21:25:21,1
Enguiço CM,98867,FECHADO,2023-07-05 21:25:22,2
Enguiço UT,98868,FECHADO,2023-07-05 21:25:23,2
Atropelamento envolv. MT,98871,FECHADO,2023-07-05 21:25:24,1
Enguiço VP,98874,FECHADO,2023-07-05 21:25:26,2
Enguiço CM,98876,FECHADO,2023-07-05 21:25:27,2
Enguiço UT,98879,FECHADO,2023-07-05 21:25:28,2
Enguiço VP,98882,FECHADO,2023-07-05 21:25:29,2
Enguiço CM,98883,FECHADO,2023-07-05 21:25:30,2
AC VP x MT,98858,FECHADO,2023-07-05 21:25:32,2
Engiço CM,98860,FECHADO,2023-07-05 21:25:33,2
AC 2 VPs,98862,FECHADO,2023-07-05 21:25:34,2
AC 2 VPs,98866,FECHADO,2023-07-05 21:25:35,2
Enguiço ON,98869,FECHADO,2023-07-05 21:25:36,2
Enguiço CM,98870,FECHADO,2023-07-05 21:25:37,2
AC UT x VP,98875,FECHADO,2023-07-05 21:25:39,2
AC TX x 4 VPs,98877,FECHADO,2023-07-05 21:25:40,2
Enguiço CM,98880,FECHADO,2023-07-05 21:25:42,2
Enguiço ON,98881,FECHADO,2023-07-05 21:25:43,2
Enguiço ON,98885,FECHADO,2023-07-05 21:25:44,2
Enguiço ON,98887,FECHADO,2023-07-05 21:25:45,2
Incêndio em ON,98889,FECHADO,2023-07-05 21:25:46,2
AC envolvendo CR,98899,FECHADO,2023-07-05 21:25:48,2
Enguiço ON,98886,FECHADO,2023-07-05 21:25:49,2
AC VP x Mureta,98890,FECHADO,2023-07-05 21:25:50,2
AC 2 VPs,98906,FECHADO,2023-07-05 21:25:59,2
Enguiço CM,98904,FECHADO,2023-07-05 21:26:00,2
AC 3 VPs,98905,FECHADO,2023-07-05 21:26:01,2
AC 2 MTs,98910,FECHADO,2023-07-05 21:26:02,2
Animal na via,98912,FECHADO,2023-07-05 21:26:03,4
AC VP x MT,98914,FECHADO,2023-07-05 21:26:04,2
Obra na via ( CET RIO ),98902,FECHADO,2023-07-05 21:26:07,2
AC CM x TX,98907,FECHADO,2023-07-05 21:26:08,2
AC ON x MT,98911,FECHADO,2023-07-05 21:26:10,1
Queda MT,98913,FECHADO,2023-07-05 21:26:11,2
AC VP x MT,98915,FECHADO,2023-07-05 21:26:12,2
AC VP x MT,98921,FECHADO,2023-07-05 21:26:14,1
AC envol. CR,98924,FECHADO,2023-07-05 21:26:15,2
Enguiço VP,98926,FECHADO,2023-07-05 21:26:16,2
AC VP x MT,98918,FECHADO,2023-07-05 21:26:17,2
AC 2 VPs,98919,FECHADO,2023-07-05 21:26:18,2
AC TX x 2 VPs,98923,FECHADO,2023-07-05 21:26:19,2
AC ON x VP,98925,FECHADO,2023-07-05 21:26:20,2
Manifestação,98927,FECHADO,2023-07-05 21:26:21,1
AC UT x 3 VPs,98931,FECHADO,2023-07-05 21:26:22,2
AC UT x VP,98930,FECHADO,2023-07-05 21:26:23,2
Enguiço UT,98928,FECHADO,2023-07-05 21:26:24,2
Enguiço ON,98929,FECHADO,2023-07-05 21:26:25,2
Enguiço VP,98932,FECHADO,2023-07-05 21:26:26,2
Enguiço ON,98933,FECHADO,2023-07-05 21:26:27,2
Queda MT,98935,FECHADO,2023-07-05 21:26:28,2
Queda MT,98936,FECHADO,2023-07-05 21:26:30,2
AC VP x MT,98908,FECHADO,2023-07-05 21:26:31,2
